"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0세"
"서울특별시  (1100000000)","9,366,283","37,461","37,461"
"서울특별시 종로구 (1111000000)","139,189","385","385"
"서울특별시 종로구 청운효자동(1111051500)","11,190","47","47"
"서울특별시 종로구 사직동(1111053000)","8,977","19","19"
"서울특별시 종로구 삼청동(1111054000)","2,226","4","4"
"서울특별시 종로구 부암동(1111055000)","9,042","20","20"
"서울특별시 종로구 평창동(1111056000)","17,262","50","50"
"서울특별시 종로구 무악동(1111057000)","7,938","25","25"
"서울특별시 종로구 교남동(1111058000)","9,682","51","51"
"서울특별시 종로구 가회동(1111060000)","3,814","9","9"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,702","16","16"
"서울특별시 종로구 종로5.6가동(1111063000)","5,317","10","10"
"서울특별시 종로구 이화동(1111064000)","6,973","13","13"
"서울특별시 종로구 혜화동(1111065000)","15,936","30","30"
"서울특별시 종로구 창신제1동(1111067000)","4,482","10","10"
"서울특별시 종로구 창신제2동(1111068000)","7,451","14","14"
"서울특별시 종로구 창신제3동(1111069000)","6,328","31","31"
"서울특별시 종로구 숭인제1동(1111070000)","5,764","19","19"
"서울특별시 종로구 숭인제2동(1111071000)","10,105","17","17"
"서울특별시 중구 (1114000000)","121,475","493","493"
"서울특별시 중구 소공동(1114052000)","2,179","9","9"
"서울특별시 중구 회현동(1114054000)","4,360","11","11"
"서울특별시 중구 명동(1114055000)","2,588","4","4"
"서울특별시 중구 필동(1114057000)","4,306","9","9"
"서울특별시 중구 장충동(1114058000)","4,563","19","19"
"서울특별시 중구 광희동(1114059000)","5,811","18","18"
"서울특별시 중구 을지로동(1114060500)","3,124","21","21"
"서울특별시 중구 신당동(1114061500)","7,416","17","17"
"서울특별시 중구 다산동(1114062500)","13,155","35","35"
"서울특별시 중구 약수동(1114063500)","16,099","60","60"
"서울특별시 중구 청구동(1114064500)","12,872","76","76"
"서울특별시 중구 신당제5동(1114065000)","10,166","42","42"
"서울특별시 중구 동화동(1114066500)","9,923","43","43"
"서울특별시 중구 황학동(1114067000)","12,796","58","58"
"서울특별시 중구 중림동(1114068000)","12,117","71","71"
"서울특별시 용산구 (1117000000)","206,061","924","924"
"서울특별시 용산구 후암동(1117051000)","15,927","39","39"
"서울특별시 용산구 용산2가동(1117052000)","8,835","31","31"
"서울특별시 용산구 남영동(1117053000)","6,819","12","12"
"서울특별시 용산구 청파동(1117055500)","18,763","56","56"
"서울특별시 용산구 원효로제1동(1117056000)","16,989","108","108"
"서울특별시 용산구 원효로제2동(1117057000)","13,583","58","58"
"서울특별시 용산구 효창동(1117058000)","10,613","68","68"
"서울특별시 용산구 용문동(1117059000)","11,290","63","63"
"서울특별시 용산구 한강로동(1117062500)","20,883","143","143"
"서울특별시 용산구 이촌제1동(1117063000)","24,944","111","111"
"서울특별시 용산구 이촌제2동(1117064000)","7,806","46","46"
"서울특별시 용산구 이태원제1동(1117065000)","6,123","18","18"
"서울특별시 용산구 이태원제2동(1117066000)","8,730","18","18"
"서울특별시 용산구 한남동(1117068500)","14,546","91","91"
"서울특별시 용산구 서빙고동(1117069000)","12,578","46","46"
"서울특별시 용산구 보광동(1117070000)","7,632","16","16"
"서울특별시 성동구 (1120000000)","276,597","1,496","1,496"
"서울특별시 성동구 왕십리제2동(1120052000)","16,071","82","82"
"서울특별시 성동구 왕십리도선동(1120053500)","26,178","149","149"
"서울특별시 성동구 마장동(1120054000)","21,482","92","92"
